t[d],dt[d],T[C]
1572.126768,2.484149714,115.8869131
1574.610917,2.484149714,115.8799253
1577.095067,2.484149714,115.8729384
1579.579217,2.484149714,115.8659525
1582.063366,2.484149714,115.8589675
1584.547516,2.484149714,115.8519836
1587.031666,2.484149714,115.845001
1589.515816,2.484149714,115.8380197
1591.999965,2.484149714,115.8310397
1594.484115,2.484149714,115.8240611
1596.968265,2.484149714,115.8170838
1599.452414,2.484149714,115.8101081
1601.936564,2.484149714,115.8031338
1604.420714,2.484149714,115.7961609
1606.904864,2.484149714,115.7891896
1609.389013,2.484149714,115.7822198
1611.873163,2.484149714,115.7752516
1614.357313,2.484149714,115.7682849
1616.841462,2.484149714,115.7613197
1619.325612,2.484149714,115.7543561
1621.809762,2.484149714,115.7473941
1624.293912,2.484149714,115.7404336
1626.778061,2.484149714,115.7334747
1629.262211,2.484149714,115.7265173
1631.746361,2.484149714,115.7195615
1634.23051,2.484149714,115.7126073
1636.71466,2.484149714,115.7056546
1639.19881,2.484149714,115.6987035
1641.68296,2.484149714,115.691754
1644.167109,2.484149714,115.6848059
1646.651259,2.484149714,115.6778594
1649.135409,2.484149714,115.6709145
1651.619558,2.484149714,115.6639711
1654.103708,2.484149714,115.6570292
1656.587858,2.484149714,115.6500888
1659.072008,2.484149714,115.6431499
1661.556157,2.484149714,115.6362125
1664.040307,2.484149714,115.6292766
1666.524457,2.484149714,115.6223422
1669.008606,2.484149714,115.6154093
1671.492756,2.484149714,115.6084778
1673.976906,2.484149714,115.6015478
1676.461056,2.484149714,115.5946193
1678.945205,2.484149714,115.5876922
1681.429355,2.484149714,115.5807665
1683.913505,2.484149714,115.5738422
1686.397654,2.484149714,115.5669194
1688.881804,2.484149714,115.5599979
1691.365954,2.484149714,115.5530779
1693.850104,2.484149714,115.5461592
1696.334253,2.484149714,115.5392419
1698.818403,2.484149714,115.532326
1701.302553,2.484149714,115.5254115
1703.786702,2.484149714,115.5184982
1706.270852,2.484149714,115.5115864
1708.755002,2.484149714,115.5046758
1711.239152,2.484149714,115.4977666
1713.723301,2.484149714,115.4908587
1716.207451,2.484149714,115.483952
1718.691601,2.484149714,115.4770467
1721.17575,2.484149714,115.4701426
1723.6599,2.484149714,115.4632399
1726.14405,2.484149714,115.4563384
1728.6282,2.484149714,115.4494383
1731.112349,2.484149714,115.4425408
1733.596499,2.484149714,115.4356554
1736.080649,2.484149714,115.4287779
1738.564798,2.484149714,115.4218415
1741.048948,2.484149714,115.4149303
1743.533098,2.484149714,115.4080458
1746.017248,2.484149714,115.4011509
1748.501397,2.484149714,115.3942676
1750.985547,2.484149714,115.387385
1753.469697,2.484149714,115.3805026
1755.953846,2.484149714,115.3736164
1758.437996,2.484149714,115.3667271
1760.922146,2.484149714,115.3598475
1763.406296,2.484149714,115.3529693
1765.890445,2.484149714,115.3460906
1768.374595,2.484149714,115.3392259
1770.858745,2.484149714,115.3323449
1773.342894,2.484149714,115.3254805
1775.827044,2.484149714,115.3185969
1778.311194,2.484149714,115.3117182
1780.795344,2.484149714,115.3048315
1783.279493,2.484149714,115.2979479
1785.763643,2.484149714,115.2910903
1788.247793,2.484149714,115.2842155
1790.731942,2.484149714,115.2773485
1793.216092,2.484149714,115.2704756
1795.700242,2.484149714,115.2636068
1798.184392,2.484149714,115.2567489
1800.668541,2.484149714,115.2498692
1803.152691,2.484149714,115.2430072
1805.636841,2.484149714,115.236143
1808.12099,2.484149714,115.2292868
1810.60514,2.484149714,115.222414
1813.08929,2.484149714,115.2155613
1815.57344,2.484149714,115.2087091
1818.057589,2.484149714,115.2018497
1820.541739,2.484149714,115.1949838
1823.025889,2.484149714,115.1881294
1825.000015,1.974125844,115.1819643
1827.486632,2.486617771,115.1758221
1829.97325,2.486617771,115.1689733
1832.459868,2.486617771,115.1620968
1834.946486,2.486617771,115.1551648
1837.433103,2.486617771,115.1483097
1839.919721,2.486617771,115.1414653
1842.406339,2.486617771,115.1346226
1844.892957,2.486617771,115.1277465
1847.379575,2.486617771,115.1208877
1849.866192,2.486617771,115.1140492
1852.35281,2.486617771,115.1071782
1854.839428,2.486617771,115.1003273
1857.326046,2.486617771,115.0934293
1859.812663,2.486617771,115.0865792
1862.299281,2.486617771,115.0797416
1864.785899,2.486617771,115.0729011
1867.272517,2.486617771,115.0660255
1869.759134,2.486617771,115.0591817
1872.245752,2.486617771,115.0523492
1874.73237,2.486617771,115.0455069
1877.218988,2.486617771,115.0386563
1879.705606,2.486617771,115.0318143
1882.192223,2.486617771,115.0249779
1884.678841,2.486617771,115.0181273
1887.165459,2.486617771,115.0112894
1889.652077,2.486617771,115.00442
1892.138694,2.486617771,114.9975825
1894.625312,2.486617771,114.9907506
1897.11193,2.486617771,114.9839076
1899.598548,2.486617771,114.9770537
1902.085165,2.486617771,114.970214
1904.571783,2.486617771,114.9633806
1907.058401,2.486617771,114.9565366
1909.545019,2.486617771,114.9496963
1912.031637,2.486617771,114.9428279
1914.518254,2.486617771,114.9359937
1917.004872,2.486617771,114.929156
1919.49149,2.486617771,114.9223175
1921.978108,2.486617771,114.9154754
1924.464725,2.486617771,114.9086336
1926.951343,2.486617771,114.9017771
1929.437961,2.486617771,114.8949353
1931.924579,2.486617771,114.888091
1934.411197,2.486617771,114.8812449
1936.897814,2.486617771,114.8743977
