"time","x","y","z","uindex","i","j","k","head","temp","pres","satn","epot","vx","vy","vz","bhpr","kz"
0.210000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22311439E+04,0.45206555E+02,0.11329024E+02,0.00000000E+00,0.00000000E+00,0.30383175E-04,0.79730404E-07,0.20057455E-07,0.00000000E+00,0.75000000E-13

0.212500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22311279E+04,0.45189142E+02,0.11328950E+02,0.00000000E+00,0.00000000E+00,0.30381213E-04,0.79886218E-07,0.20112086E-07,0.00000000E+00,0.75000000E-13

0.215000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22311120E+04,0.45171814E+02,0.11328876E+02,0.00000000E+00,0.00000000E+00,0.30379265E-04,0.80039822E-07,0.20166316E-07,0.00000000E+00,0.75000000E-13

0.217500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22310961E+04,0.45154569E+02,0.11328803E+02,0.00000000E+00,0.00000000E+00,0.30377330E-04,0.80191282E-07,0.20220152E-07,0.00000000E+00,0.75000000E-13

0.220000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22310804E+04,0.45137407E+02,0.11328730E+02,0.00000000E+00,0.00000000E+00,0.30375408E-04,0.80340667E-07,0.20273597E-07,0.00000000E+00,0.75000000E-13

0.222500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22310647E+04,0.45120324E+02,0.11328657E+02,0.00000000E+00,0.00000000E+00,0.30373500E-04,0.80488029E-07,0.20326659E-07,0.00000000E+00,0.75000000E-13

0.225000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22310491E+04,0.45103321E+02,0.11328585E+02,0.00000000E+00,0.00000000E+00,0.30371605E-04,0.80633439E-07,0.20379344E-07,0.00000000E+00,0.75000000E-13

0.227500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22310336E+04,0.45086396E+02,0.11328513E+02,0.00000000E+00,0.00000000E+00,0.30369722E-04,0.80776932E-07,0.20431655E-07,0.00000000E+00,0.75000000E-13

0.230000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22310181E+04,0.45069548E+02,0.11328441E+02,0.00000000E+00,0.00000000E+00,0.30367852E-04,0.80918583E-07,0.20483598E-07,0.00000000E+00,0.75000000E-13

0.232500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22310027E+04,0.45052776E+02,0.11328370E+02,0.00000000E+00,0.00000000E+00,0.30365993E-04,0.81058435E-07,0.20535177E-07,0.00000000E+00,0.75000000E-13

0.235000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22309874E+04,0.45036078E+02,0.11328298E+02,0.00000000E+00,0.00000000E+00,0.30364147E-04,0.81196543E-07,0.20586397E-07,0.00000000E+00,0.75000000E-13

0.237500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22309721E+04,0.45019454E+02,0.11328227E+02,0.00000000E+00,0.00000000E+00,0.30362312E-04,0.81332951E-07,0.20637263E-07,0.00000000E+00,0.75000000E-13

0.240000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22309569E+04,0.45002902E+02,0.11328157E+02,0.00000000E+00,0.00000000E+00,0.30360489E-04,0.81467712E-07,0.20687778E-07,0.00000000E+00,0.75000000E-13

0.242500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22309417E+04,0.44986421E+02,0.11328086E+02,0.00000000E+00,0.00000000E+00,0.30358678E-04,0.81600871E-07,0.20737945E-07,0.00000000E+00,0.75000000E-13

0.245000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22309267E+04,0.44970010E+02,0.11328016E+02,0.00000000E+00,0.00000000E+00,0.30356877E-04,0.81732464E-07,0.20787770E-07,0.00000000E+00,0.75000000E-13

0.247500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22309116E+04,0.44953669E+02,0.11327946E+02,0.00000000E+00,0.00000000E+00,0.30355087E-04,0.81862539E-07,0.20837254E-07,0.00000000E+00,0.75000000E-13

0.250000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22308967E+04,0.44937395E+02,0.11327876E+02,0.00000000E+00,0.00000000E+00,0.30353308E-04,0.81991144E-07,0.20886403E-07,0.00000000E+00,0.75000000E-13

0.252500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22308818E+04,0.44921189E+02,0.11327807E+02,0.00000000E+00,0.00000000E+00,0.30351539E-04,0.82118295E-07,0.20935218E-07,0.00000000E+00,0.75000000E-13

0.255000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22308669E+04,0.44905049E+02,0.11327738E+02,0.00000000E+00,0.00000000E+00,0.30349781E-04,0.82244059E-07,0.20983703E-07,0.00000000E+00,0.75000000E-13

0.257500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22308521E+04,0.44888975E+02,0.11327668E+02,0.00000000E+00,0.00000000E+00,0.30348033E-04,0.82368454E-07,0.21031862E-07,0.00000000E+00,0.75000000E-13

