%       "time"           "x"            "y"           "z"      "uindex"    "i"  "j"  "k"          "head"           "temp"           "pres"    "satn"           "epot"             "vx"             "vy"             "vz"          "bhpr"            "kz" 
%
  0.150000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21709759E+04   0.60006079E+02   0.14529177E+02   0.00000000E+00   0.00000000E+00   0.12040347E-05  -0.33775261E-06   0.43328379E-07   0.13987694E+02   0.48500000E-13
%
  0.152500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21709966E+04   0.60020088E+02   0.14529271E+02   0.00000000E+00   0.00000000E+00   0.12071772E-05  -0.33817955E-06   0.43533292E-07   0.13987901E+02   0.48500000E-13
%
  0.155000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21710170E+04   0.60033913E+02   0.14529364E+02   0.00000000E+00   0.00000000E+00   0.12102120E-05  -0.33858152E-06   0.43736088E-07   0.13988107E+02   0.48500000E-13
%
  0.157500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21710371E+04   0.60047560E+02   0.14529456E+02   0.00000000E+00   0.00000000E+00   0.12131417E-05  -0.33895916E-06   0.43936822E-07   0.13988310E+02   0.48500000E-13
%
  0.160000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21710570E+04   0.60061031E+02   0.14529547E+02   0.00000000E+00   0.00000000E+00   0.12159689E-05  -0.33931314E-06   0.44135548E-07   0.13988510E+02   0.48500000E-13
%
  0.162500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21710767E+04   0.60074329E+02   0.14529637E+02   0.00000000E+00   0.00000000E+00   0.12186958E-05  -0.33964407E-06   0.44332317E-07   0.13988708E+02   0.48500000E-13
%
  0.165000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21710961E+04   0.60087459E+02   0.14529726E+02   0.00000000E+00   0.00000000E+00   0.12213248E-05  -0.33995254E-06   0.44527177E-07   0.13988903E+02   0.48500000E-13
%
  0.167500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21711153E+04   0.60100424E+02   0.14529813E+02   0.00000000E+00   0.00000000E+00   0.12238581E-05  -0.34023913E-06   0.44720176E-07   0.13989096E+02   0.48500000E-13
%
  0.170000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21711343E+04   0.60113225E+02   0.14529900E+02   0.00000000E+00   0.00000000E+00   0.12262977E-05  -0.34050439E-06   0.44911361E-07   0.13989286E+02   0.48500000E-13
%
  0.172500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21711530E+04   0.60125867E+02   0.14529986E+02   0.00000000E+00   0.00000000E+00   0.12286456E-05  -0.34074885E-06   0.45100774E-07   0.13989474E+02   0.48500000E-13
%
  0.175000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21711715E+04   0.60138352E+02   0.14530071E+02   0.00000000E+00   0.00000000E+00   0.12309040E-05  -0.34097303E-06   0.45288460E-07   0.13989660E+02   0.48500000E-13
%
  0.177500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21711898E+04   0.60150683E+02   0.14530154E+02   0.00000000E+00   0.00000000E+00   0.12330745E-05  -0.34117742E-06   0.45474457E-07   0.13989844E+02   0.48500000E-13
%
  0.180000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21712078E+04   0.60162863E+02   0.14530237E+02   0.00000000E+00   0.00000000E+00   0.12351590E-05  -0.34136251E-06   0.45658807E-07   0.13990025E+02   0.48500000E-13
%
  0.182500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21712257E+04   0.60174894E+02   0.14530319E+02   0.00000000E+00   0.00000000E+00   0.12371594E-05  -0.34152876E-06   0.45841547E-07   0.13990204E+02   0.48500000E-13
%
  0.185000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21712433E+04   0.60186778E+02   0.14530400E+02   0.00000000E+00   0.00000000E+00   0.12390772E-05  -0.34167661E-06   0.46022714E-07   0.13990381E+02   0.48500000E-13
%
  0.187500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21712608E+04   0.60198519E+02   0.14530480E+02   0.00000000E+00   0.00000000E+00   0.12409141E-05  -0.34180650E-06   0.46202343E-07   0.13990556E+02   0.48500000E-13
%
  0.190000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21712780E+04   0.60210118E+02   0.14530558E+02   0.00000000E+00   0.00000000E+00   0.12426716E-05  -0.34191886E-06   0.46380469E-07   0.13990729E+02   0.48500000E-13
%
  0.192500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21712950E+04   0.60221578E+02   0.14530636E+02   0.00000000E+00   0.00000000E+00   0.12443514E-05  -0.34201408E-06   0.46557125E-07   0.13990899E+02   0.48500000E-13
%
  0.195000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21713118E+04   0.60232901E+02   0.14530713E+02   0.00000000E+00   0.00000000E+00   0.12459548E-05  -0.34209256E-06   0.46732342E-07   0.13991068E+02   0.48500000E-13
%
  0.197500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21713284E+04   0.60244089E+02   0.14530789E+02   0.00000000E+00   0.00000000E+00   0.12474833E-05  -0.34215468E-06   0.46906152E-07   0.13991234E+02   0.48500000E-13
%
  0.200000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21713448E+04   0.60255145E+02   0.14530865E+02   0.00000000E+00   0.00000000E+00   0.12489383E-05  -0.34220081E-06   0.47078585E-07   0.13991398E+02   0.48500000E-13
%
  0.202500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21713610E+04   0.60266070E+02   0.14530939E+02   0.00000000E+00   0.00000000E+00   0.12503211E-05  -0.34223131E-06   0.47249668E-07   0.13991561E+02   0.48500000E-13
%
  0.205000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21713770E+04   0.60276866E+02   0.14531012E+02   0.00000000E+00   0.00000000E+00   0.12516330E-05  -0.34224653E-06   0.47419431E-07   0.13991721E+02   0.48500000E-13
%
  0.207500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21713929E+04   0.60287536E+02   0.14531084E+02   0.00000000E+00   0.00000000E+00   0.12528753E-05  -0.34224680E-06   0.47587901E-07   0.13991880E+02   0.48500000E-13
%
  0.210000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21714085E+04   0.60298080E+02   0.14531156E+02   0.00000000E+00   0.00000000E+00   0.12540491E-05  -0.34223245E-06   0.47755102E-07   0.13992036E+02   0.48500000E-13
%
